"filename", "language", "C", "Assembly", "Makefile", "Properties", "C++", "Python", "comment", "blank", "total"
"/Users/esadfurkanduman/kernel__/lib/ft_strlen.c", "C", 9, 0, 0, 0, 0, 0, 11, 4, 24
"/Users/esadfurkanduman/kernel__/lib/ft_strmapi.c", "C", 21, 0, 0, 0, 0, 0, 11, 4, 36
"/Users/esadfurkanduman/kernel__/lib/ft_strncmp.c", "C", 13, 0, 0, 0, 0, 0, 11, 4, 28
"/Users/esadfurkanduman/kernel__/lib/ft_strnstr.c", "C", 19, 0, 0, 0, 0, 0, 11, 4, 34
"/Users/esadfurkanduman/kernel__/lib/ft_strrchr.c", "C", 15, 0, 0, 0, 0, 0, 11, 4, 30
"/Users/esadfurkanduman/kernel__/lib/ft_strstr.c", "C", 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/esadfurkanduman/kernel__/lib/ft_strtrim.c", "C", 52, 0, 0, 0, 0, 0, 11, 10, 73
"/Users/esadfurkanduman/kernel__/lib/ft_substr.c", "C", 29, 0, 0, 0, 0, 0, 11, 7, 47
"/Users/esadfurkanduman/kernel__/lib/ft_tolower.c", "C", 6, 0, 0, 0, 0, 0, 11, 2, 19
"/Users/esadfurkanduman/kernel__/lib/ft_toupper.c", "C", 6, 0, 0, 0, 0, 0, 11, 2, 19
"/Users/esadfurkanduman/kernel__/lib/stack.c", "C", 31, 0, 0, 0, 0, 0, 0, 15, 46
"/Users/esadfurkanduman/kernel__/lib/stdio.c", "C", 165, 0, 0, 0, 0, 0, 22, 34, 221
"/Users/esadfurkanduman/kernel__/lib/utils.c", "C", 43, 0, 0, 0, 0, 0, 0, 6, 49
"/Users/esadfurkanduman/kernel__/lib/utils2.c", "C", 34, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/esadfurkanduman/kernel__/mm/kheap.c", "C", 102, 0, 0, 0, 0, 0, 0, 28, 130
"/Users/esadfurkanduman/kernel__/mm/paging.c", "C", 72, 0, 0, 0, 0, 0, 1, 17, 90
"/Users/esadfurkanduman/kernel__/mm/paging_s.asm", "Assembly", 0, 17, 0, 0, 0, 0, 0, 2, 19
"/Users/esadfurkanduman/kernel__/mm/pmm.c", "C", 112, 0, 0, 0, 0, 0, 0, 23, 135
"/Users/esadfurkanduman/kernel__/src/resources/init_elf_data.c", "C", 1384, 0, 0, 0, 0, 0, 0, 1, 1385
"/Users/esadfurkanduman/kernel__/tests/host/c/fuzz_parser.c", "C", 38, 0, 0, 0, 0, 0, 24, 11, 73
"/Users/esadfurkanduman/kernel__/tests/host/c/test_crypto.c", "C", 55, 0, 0, 0, 0, 0, 10, 11, 76
"/Users/esadfurkanduman/kernel__/tests/host/c/test_hash.c", "C", 25, 0, 0, 0, 0, 0, 5, 7, 37
"/Users/esadfurkanduman/kernel__/tests/host/python/test_mkfs.py", "Python", 0, 0, 0, 0, 0, 17, 3, 8, 28
"/Users/esadfurkanduman/kernel__/tests/kernel/ktest.h", "C++", 0, 0, 0, 0, 35, 0, 1, 7, 43
"/Users/esadfurkanduman/kernel__/tests/kernel/selftest.c", "C", 45, 0, 0, 0, 0, 0, 3, 10, 58
"/Users/esadfurkanduman/kernel__/tests/kernel/test_adversarial.c", "C", 23, 0, 0, 0, 0, 0, 14, 10, 47
"/Users/esadfurkanduman/kernel__/tests/kernel/test_concurrency.c", "C", 15, 0, 0, 0, 0, 0, 9, 6, 30
"/Users/esadfurkanduman/kernel__/tests/kernel/test_integration.c", "C", 46, 0, 0, 0, 0, 0, 16, 14, 76
"/Users/esadfurkanduman/kernel__/tests/kernel/test_memory.c", "C", 17, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/esadfurkanduman/kernel__/tests/kernel/test_pipe.c", "C", 39, 0, 0, 0, 0, 0, 15, 14, 68
"/Users/esadfurkanduman/kernel__/tests/kernel/test_regression.c", "C", 40, 0, 0, 0, 0, 0, 33, 10, 83
"/Users/esadfurkanduman/kernel__/tests/kernel/test_security.c", "C", 38, 0, 0, 0, 0, 0, 12, 13, 63
"/Users/esadfurkanduman/kernel__/tests/kernel/test_stress.c", "C", 27, 0, 0, 0, 0, 0, 10, 7, 44
"/Users/esadfurkanduman/kernel__/tests/kernel/test_string.c", "C", 15, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/esadfurkanduman/kernel__/tests/kernel/test_vfs.c", "C", 34, 0, 0, 0, 0, 0, 1, 11, 46
"/Users/esadfurkanduman/kernel__/tools/encrypt_tool.c", "C", 71, 0, 0, 0, 0, 0, 1, 17, 89
"/Users/esadfurkanduman/kernel__/tools/hash.c", "C", 10, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/esadfurkanduman/kernel__/tools/inject.py", "Python", 0, 0, 0, 0, 0, 28, 0, 11, 39
"/Users/esadfurkanduman/kernel__/tools/mkfs.py", "Python", 0, 0, 0, 0, 0, 20, 2, 10, 32
"Total", "-", 7003, 174, 192, 3, 768, 65, 863, 1486, 10554
